time_s,is_control_reporting_time,reference_doc,uniform_full_power_doc,target_full_power_doc,target_full_power_outside_doc,feasibility_deficit,reference_minus_target_full_power,target_full_power_minus_reference,uniform_full_power_minus_reference,uniform_o2_mean,uniform_tempo_mean,uniform_dose_mean,uniform_reaction_progress_mean,o2_target_mean,tempo_target_mean,dose_target_mean,reaction_progress_target_mean,mpc_target_doc,mpc_tracking_error,target_region_control_mean
14.65,0,1,0.999992549419,0.999570667744,0.000183157564607,0.000429332256317,0.000429332256317,-0.000429332256317,-7.45058059692e-06,0,0,411.788238525,11.8430557251,0.000190231323359,0,403.795959473,11.639998436,0.999988275766,-1.17242336273e-05,0.93766732114
14.7,0,1,0.999992728233,0.999575316906,0.00018425770395,0.000424683094025,0.000424683094025,-0.000424683094025,-7.2717666626e-06,0,0,413.288238525,11.8862028122,0.000189328027773,0,405.28036499,11.6828346252,0.999988698959,-1.13010406494e-05,0.93766732114
14.75,0,1,0.999993443489,0.999579668045,0.00018536040443,0.000420331954956,0.000420331954956,-0.000420331954956,-6.55651092529e-06,0,0,414.788238525,11.9293460846,0.000188429155969,0,406.76473999,11.7256727219,0.999989122152,-1.08778476715e-05,0.93766732114
14.8,0,1,0.999993562698,0.999583959579,0.000186465389561,0.000416040420532,0.000416040420532,-0.000416040420532,-6.43730163574e-06,0,0,416.288238525,11.9724779129,0.000187534751603,0,408.249145508,11.7685098648,0.999989545345,-1.04546546936e-05,0.93766732114
14.85,0,1,0.999993741512,0.999588251114,0.000187572455616,0.000411748886108,0.000411748886108,-0.000411748886108,-6.25848770142e-06,0,0,417.788238525,12.0156240463,0.000186644727364,0,409.733581543,11.8113498688,0.999989968538,-1.00314617157e-05,0.93766732114
14.9,0,1,0.999993741512,0.99959230423,0.000188681398868,0.000407695770264,0.000407695770264,-0.000407695770264,-6.25848770142e-06,0,0,419.288238525,12.0587692261,0.000185759025044,0,411.218048096,11.8541889191,0.999990391731,-9.60826873775e-06,0.93766732114
14.95,0,1,0.999994814396,0.999596238136,0.000189791971934,0.000403761863708,0.000403761863708,-0.000403761863708,-5.18560409546e-06,0,0,420.788269043,12.1019010544,0.000184877644642,0,412.702545166,11.8970298767,0.999990814924,-9.18507575987e-06,0.93766732114
15,1,1,0.99999499321,0.999600172043,0.000190904014744,0.000399827957153,0.000399827957153,-0.000399827957153,-5.00679016113e-06,0,0,422.288269043,12.1450471878,0.000184000557056,0,414.187042236,11.9398698807,0.999991238117,-8.76188278198e-06,0.93766732114
15.05,0,1,0.999995172024,0.999604105949,0.000192017338122,0.000395894050598,0.000395894050598,-0.000395894050598,-4.82797622681e-06,0,0,423.788269043,12.1881780624,0.000183127689525,0,415.671600342,11.982711792,0.999991506338,-8.49366188049e-06,0.936586564875
15.1,0,1,0.999995172024,0.999607920647,0.000193131781998,0.000392079353333,0.000392079353333,-0.000392079353333,-4.82797622681e-06,0,0,425.288269043,12.2313251495,0.000182259056601,0,417.156158447,12.025554657,0.999991774559,-8.225440979e-06,0.936586564875
15.15,0,1,0.999995827675,0.999611616135,0.000194247113541,0.000388383865356,0.000388383865356,-0.000388383865356,-4.17232513428e-06,0,0,426.788269043,12.2744693756,0.000181394556421,0,418.640808105,12.0683984756,0.99999204278,-7.95722007751e-06,0.936586564875
15.2,0,1,0.999995827675,0.999615192413,0.000195363187231,0.00038480758667,0.00038480758667,-0.00038480758667,-4.17232513428e-06,0,0,428.288269043,12.3176031113,0.000180534188985,0,420.125427246,12.1112422943,0.999992311001,-7.68899917603e-06,0.936586564875
15.25,0,1,0.999996185303,0.999618709087,0.000196479842998,0.000381290912628,0.000381290912628,-0.000381290912628,-3.81469726562e-06,0,0,429.788269043,12.3607444763,0.000179677939741,0,421.610015869,12.1540880203,0.999992579222,-7.42077827454e-06,0.936586564875
15.3,0,1,0.999996185303,0.999622046947,0.000197596862563,0.000377953052521,0.000377953052521,-0.000377953052521,-3.81469726562e-06,0,0,431.288269043,12.4038915634,0.000178825735929,0,423.094696045,12.1969347,0.999992847443,-7.15255737305e-06,0.936586564875
15.35,0,1,0.999996185303,0.999625444412,0.000198720212211,0.000374555587769,0.000374555587769,-0.000374555587769,-3.81469726562e-06,0,0,432.788269043,12.4470233917,0.000177977562998,0,424.579345703,12.2397823334,0.999993115664,-6.88433647156e-06,0.936586564875
15.4,0,1,0.999996364117,0.999628663063,0.000199847490876,0.000371336936951,0.000371336936951,-0.000371336936951,-3.6358833313e-06,0,0,434.288269043,12.4901714325,0.00017713336274,0,426.064056396,12.2826280594,0.999993383884,-6.61611557007e-06,0.936586564875
15.45,0,1,0.999996364117,0.999631822109,0.000200978131033,0.000368177890778,0.000368177890778,-0.000368177890778,-3.6358833313e-06,0,0,435.788269043,12.5333032608,0.000176293149707,0,427.548828125,12.3254776001,0.999993652105,-6.34789466858e-06,0.936586564875
15.5,1,1,0.999996364117,0.999634981155,0.000202111754334,0.000365018844604,0.000365018844604,-0.000365018844604,-3.6358833313e-06,0,0,437.288269043,12.5764503479,0.000175456836587,0,429.033599854,12.3683271408,0.999993920326,-6.07967376709e-06,0.936586564875
15.55,0,1,0.999996542931,0.999638140202,0.000203248113394,0.000361859798431,0.000361859798431,-0.000361859798431,-3.45706939697e-06,0,0,438.788269043,12.6195907593,0.000174624437932,0,430.518432617,12.4111776352,0.999994122982,-5.87701797483e-06,0.935510639133
15.6,0,1,0.999996542931,0.999641120434,0.000204386931728,0.000358879566193,0.000358879566193,-0.000358879566193,-3.45706939697e-06,0,0,440.288269043,12.6627264023,0.000173795910086,0,432.003204346,12.4540281296,0.999994325638,-5.67436218257e-06,0.935510639133
