event_id,condition_id,trajectory,absolute_time_s,physics_step,row,column,region_n1,inside_target,target_interior_n1,target_boundary_n1,target_interior_n2,target_boundary_n2,target_interior_n4,target_boundary_n4,signed_distance_to_target_boundary_px,local_control,scattered_control,local_intensity_mw_cm2,energy_mj_cm2,o2_before_mj_cm2,o2_diffused_mj_cm2,o2_after_mj_cm2,o2_diffusion_change_mj_cm2,tempo_before_mj_cm2,tempo_diffused_mj_cm2,tempo_after_mj_cm2,tempo_diffusion_change_mj_cm2,inhibitor_sum_before_diffusion_mj_cm2,inhibitor_sum_after_diffusion_mj_cm2,inhibition_sum_exceeds_energy,diffusion_increased_inhibitor_sum,diffusion_created_negative_dose_increment,dose_before_mj_cm2,dose_after_mj_cm2,delta_dose_mj_cm2,dose_equation_increment_mj_cm2,effective_b_per_s,curing_gate,reaction_progress_before,reaction_progress_after,delta_reaction_progress,expected_delta_reaction_progress,reaction_equation_residual,doc_before,doc_after,delta_doc,doc_change_class
21,30mW_5mM,full_power_Lshape,19.700000000000003,394,150,152,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.050256893038749695,0.0,0.050256893038749695,0.0018668770790100098,0.3563416004180908,0.0,0.3544747233390808,0.0018668770790100098,0.4065984934568405,True,True,True,0.0,-0.0481070876121521,-0.0481070876121521,-0.0481070876121521,0.43097180128097534,True,0.0,-0.002891673007979989,-0.002891673007979989,-0.002891673007979989,0.0,0.0,0.0,0.0,unchanged_within_tolerance
22,30mW_5mM,full_power_Lshape,19.75,395,148,150,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.050113286823034286,0.0,0.050113286823034286,0.0,0.35314416885375977,0.0,0.35314416885375977,0.0,0.40325745567679405,True,True,True,-0.04810717701911926,-0.09287324547767639,-0.04476606845855713,-0.04476606845855713,0.43097180128097534,True,-0.002891678363084793,-0.005582525860518217,-0.002690847497433424,-0.002690847497433424,0.0,0.0,0.0,0.0,unchanged_within_tolerance
23,30mW_5mM,full_power_Lshape,19.75,395,150,152,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.050113286823034286,0.0,0.050113286823034286,0.0,0.3531441390514374,0.0,0.3531441390514374,0.0,0.40325742587447166,True,True,True,-0.0481070876121521,-0.09287312626838684,-0.04476603865623474,-0.04476603865623474,0.43097180128097534,True,-0.002891673007979989,-0.0055825188755989075,-0.0026908458676189184,-0.0026908456347882748,-2.3283064365386963e-10,0.0,0.0,0.0,unchanged_within_tolerance
24,30mW_5mM,full_power_Lshape,19.8,396,148,150,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.04997050017118454,0.0,0.04997050017118454,0.0,0.35072219371795654,0.0,0.35072219371795654,0.0,0.4006926938891411,True,True,True,-0.09287324547767639,-0.13507455587387085,-0.04220131039619446,-0.04220131039619446,0.43097180128097534,True,-0.005582525860518217,-0.008119207806885242,-0.0025366819463670254,-0.002536682179197669,2.3283064365386963e-10,0.0,0.0,0.0,unchanged_within_tolerance
25,30mW_5mM,full_power_Lshape,19.8,396,150,152,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.04997050017118454,0.0,0.04997050017118454,0.0,0.35072219371795654,0.0,0.35072219371795654,0.0,0.4006926938891411,True,True,True,-0.09287312626838684,-0.1350744366645813,-0.04220131039619446,-0.04220131039619446,0.43097180128097534,True,-0.0055825188755989075,-0.00811920128762722,-0.0025366824120283127,-0.002536682179197669,-2.3283064365386963e-10,0.0,0.0,0.0,unchanged_within_tolerance
26,30mW_5mM,full_power_Lshape,19.85,397,148,150,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.04982852190732956,0.0,0.04982852190732956,0.0,0.34841641783714294,0.0,0.34841641783714294,0.0,0.3982449397444725,True,True,True,-0.13507455587387085,-0.17482811212539673,-0.03975355625152588,-0.03975355625152588,0.43097180128097534,True,-0.008119207806885242,-0.010508758015930653,-0.00238955020904541,-0.0023895499762147665,-2.3283064365386963e-10,0.0,0.0,0.0,unchanged_within_tolerance
27,30mW_5mM,full_power_Lshape,19.85,397,150,152,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.04982852190732956,0.0,0.04982852190732956,0.0,0.34841638803482056,0.0,0.34841638803482056,0.0,0.3982449099421501,True,True,True,-0.1350744366645813,-0.1748279631137848,-0.03975352644920349,-0.03975352644920349,0.43097180128097534,True,-0.00811920128762722,-0.010508749634027481,-0.002389548346400261,-0.0023895481135696173,-2.3283064365386963e-10,0.0,0.0,0.0,unchanged_within_tolerance
28,30mW_5mM,full_power_Lshape,19.900000000000002,398,148,150,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.049687355756759644,0.0,0.049687355756759644,0.0,0.3461848497390747,0.0,0.3461848497390747,0.0,0.39587220549583435,True,True,True,-0.17482811212539673,-0.21220892667770386,-0.03738081455230713,-0.03738081455230713,0.43097180128097534,True,-0.010508758015930653,-0.012755684554576874,-0.002246926538646221,-0.002246926538646221,0.0,0.0,0.0,0.0,unchanged_within_tolerance
29,30mW_5mM,full_power_Lshape,19.900000000000002,398,150,152,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.049687355756759644,0.0,0.049687355756759644,0.0,0.3461848497390747,0.0,0.3461848497390747,0.0,0.39587220549583435,True,True,True,-0.1748279631137848,-0.21220877766609192,-0.03738081455230713,-0.03738081455230713,0.43097180128097534,True,-0.010508749634027481,-0.012755676172673702,-0.002246926538646221,-0.002246926538646221,0.0,0.0,0.0,0.0,unchanged_within_tolerance
30,30mW_5mM,full_power_Lshape,19.950000000000003,399,148,150,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.0495469868183136,0.0,0.0495469868183136,0.0,0.344007670879364,0.0,0.344007670879364,0.0,0.3935546576976776,True,True,True,-0.21220892667770386,-0.24727219343185425,-0.03506326675415039,-0.03506326675415039,0.43097180128097534,True,-0.012755684554576874,-0.014863305725157261,-0.002107621170580387,-0.0021076209377497435,-2.3283064365386963e-10,0.0,0.0,0.0,unchanged_within_tolerance
31,30mW_5mM,full_power_Lshape,19.950000000000003,399,150,152,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.0495469868183136,0.0,0.0495469868183136,0.0,0.3440077006816864,0.0,0.3440077006816864,0.0,0.3935546875,True,True,True,-0.21220877766609192,-0.2472720742225647,-0.03506329655647278,-0.03506329655647278,0.43097180128097534,True,-0.012755676172673702,-0.014863299205899239,-0.0021076230332255363,-0.002107622567564249,-4.656612873077393e-10,0.0,0.0,0.0,unchanged_within_tolerance
32,30mW_5mM,full_power_Lshape,20.0,400,148,150,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.049407411366701126,0.0,0.049407411366701126,0.0,0.34187352657318115,0.0,0.34187352657318115,0.0,0.3912809379398823,True,True,True,-0.24727219343185425,-0.2800617516040802,-0.03278955817222595,-0.03278955817222595,0.43097180128097534,True,-0.014863305725157261,-0.016834255307912827,-0.0019709495827555656,-0.0019709502812474966,6.984919309616089e-10,0.0,0.0,0.0,unchanged_within_tolerance
33,30mW_5mM,full_power_Lshape,20.0,400,150,152,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.04940740764141083,0.0,0.04940740764141083,0.0,0.34187355637550354,0.0,0.34187355637550354,0.0,0.39128096401691437,True,True,True,-0.2472720742225647,-0.28006166219711304,-0.03278958797454834,-0.03278955817222595,0.43097180128097534,True,-0.014863299205899239,-0.016834251582622528,-0.0019709523767232895,-0.001970952143892646,-2.3283064365386963e-10,0.0,0.0,0.0,unchanged_within_tolerance
